"airport","airport_name","countryCode","date","datetime","raw_metar","visibility","wind","precipitation","freezing","dangerous","VMC_IMC","latitude","longitude"
"GMMH","DAKHLA","MAR","20-01-18","""2020-01-18T15:10:00.000Z""","GMMH 181510Z 09012KT 2500 1200E DU NSC 25/04 Q1021 TEMPO 1500 BLDU 20-01-18",0,0,0,0,0,0,23.71833333333333,-15.931944444444444
"FLHN","HARRY NKUMBULA INTERNATIONAL","ZMB","20-01-19","""2020-01-19T06:00:00.000Z""","FLHN 190600Z 32006KT 9999 FEW012 SCT090 23/20 Q1012 20-01-19",0,0,0,0,0,0,-17.821358333333333,25.817075
"LTAE","ANKARA/AKINCI (MIL)","TUR","20-01-19","""2020-01-19T06:18:00.000Z""","LTAE 190618Z 32006KT 9999 SCT010 BKN030 M02/M04 Q1018 RESN NOSIG RMK RWY21 34006KT 20-01-19",0,0,0,2.5,0,0,40.07888888888889,32.565555555555555
"FVMV","MASVINGO","ZWE","20-01-19","""2020-01-19T14:00:00.000Z""","FVMV 191400Z 14006KT 9999 FEW030 BKN040 OVC100 27/21 Q1008 20-01-19",0,0,0,0,0,0,-20.061944444444446,30.861944444444447
"LDLO","LOSINJ/LOSINJ I.","HRV","20-01-19","""2020-01-19T19:00:00.000Z""","LDLO 191900Z 03015KT CAVOK 08/M01 Q1030 20-01-19",0,0,0,0,0,0,44.56590555555555,14.393188888888888
"SVBC","BARCELONA, ANZOATEGUI","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVBC 192102Z AUTO 02010KT NCD 30/21 Q1011 20-01-19",0,0,0,0,0,0,10.11111111111111,-64.69222222222223
"SVBS","B. A. MARISCAL SUCRE, ARAGUA","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVBS 192102Z AUTO 11006KT NCD 31/// Q1013 20-01-19",0,0,0,0,0,0,10.25,-67.65
"SVFM","B.A. FRANCISCO DE MIRANDA, MIRANDA","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVFM 192102Z AUTO 13009KT NCD 23/17 Q1015 20-01-19",0,0,0,0,0,0,10.485,-66.8436111
"SVGU","GUANARE, PORTUGUESA","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVGU 192102Z AUTO 14003KT NCD 33/18 Q1011 20-01-19",0,0,0,0,0,0,9.026944444444446,-69.75527777777778
"SVJM","SAN JUAN DE LOS MORROS, GUARICO","VEN","20-01-19","""2020-01-19T21:02:00.000Z""","SVJM 192102Z AUTO 21006KT NCD 31/17 Q1011 20-01-19",0,0,0,0,0,0,9.90638888888889,-67.37944444444443
